Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Moves to Capture The Queen,100,0.21438952,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,"Math, Enumeration"
EASY,Two Sum,94.6,0.557770273,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Reverse Integer,83.1,0.303089839,https://leetcode.com/problems/reverse-integer,Math
EASY,Remove Duplicates from Sorted Array,77.6,0.60355682,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Second Highest Salary,77.6,0.438651785,https://leetcode.com/problems/second-highest-salary,Database
HARD,Median of Two Sorted Arrays,77.6,0.438146605,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Palindrome Number,70.6,0.592245344,https://leetcode.com/problems/palindrome-number,Math
EASY,Valid Parentheses,70.6,0.423228855,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Valid Palindrome,70.6,0.509636039,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Count Primes,70.6,0.347906645,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Rotate Array,70.6,0.430214225,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Kth Largest Element in an Array,70.6,0.67977038,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Longest Substring Without Repeating Characters,70.6,0.369361489,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Climbing Stairs,60.8,0.535407936,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Sort Characters By Frequency,60.8,0.740806749,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Roman to Integer,60.8,0.648663681,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Linked List Cycle,60.8,0.52570723,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Jump Game,60.8,0.394791888,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Binary Search,60.8,0.595644835,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Merge Sorted Array,60.8,0.529196491,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Create Hello World Function,60.8,0.821298194,https://leetcode.com/problems/create-hello-world-function,
